Tumor_Sample,TMD/MB (Coding region 33.2),TYPE,,,
MB-REC-09-rm,2.168674699,RECURRENT,,,1.234939759
MB-REC-10-rm,1.174698795,RECURRENT,,,0.78313253
MB-REC-02-rm,0.93373494,RECURRENT,,,
MB-REC-41-rm,0.63253012,RECURRENT,,,
MB-REC-03-rm,0.361445783,RECURRENT,,,
MB-REC-16-rm,4.879518072,RECURRENT,,,
MB-REC-14-rm,2.740963855,RECURRENT,,,
MB-REC-11-rm,3.102409639,RECURRENT,,,
MB-REC-07-rm,1.234939759,RECURRENT,,,
MB-REC-08-rm,1.325301205,RECURRENT,,,
MB-REC-04-rm,1.536144578,RECURRENT,,,
MB-REC-13-rm,1.987951807,RECURRENT,,,
MB-REC-12-rm,1.204819277,RECURRENT,,,
MB-REC-15-rm,1.174698795,RECURRENT,,,
MB-REC-30-rm,1.445783133,RECURRENT,,,
MB-REC-24-rm,1.234939759,RECURRENT,,,
MB-REC-32-rm,2.078313253,RECURRENT,,,
MB-REC-42-rm,1.807228916,RECURRENT,,,
MB-REC-01-rm,1.265060241,RECURRENT,,,
MB-REC-28-rm,1.355421687,RECURRENT,,,
MB-REC-45-rm,1.957831325,RECURRENT,,,
MB-REC-39-rm,1.295180723,RECURRENT,,,
MB-REC-23-rm,0.722891566,RECURRENT,,,
MB-REC-18-rm,0.813253012,RECURRENT,,,
MB-REC-47-rm,1.56626506,RECURRENT,,,
MB-REC-27-rm,0.993975904,RECURRENT,,,
MB-REC-34-rm,1.445783133,RECURRENT,,,
MB-REC-40-rm,1.56626506,RECURRENT,,,
MB-REC-33-rm,1.506024096,RECURRENT,,,
MB-REC-31-rm,1.204819277,RECURRENT,,,
MB-REC-46-rm,1.114457831,RECURRENT,,,
MB-REC-22-rm,0.903614458,RECURRENT,,,
MB-REC-35-rm,0.542168675,RECURRENT,,,
MB-REC-19-rm,0.722891566,RECURRENT,,,
MB-REC-43-rm,0.873493976,RECURRENT,,,
MB-REC-21-rm,0.813253012,RECURRENT,,,
MB-REC-29-rm,0.63253012,RECURRENT,,,
MB-REC-11-pm,1.746987952,PRIMARY,,,
MB-REC-14-pm,1.56626506,PRIMARY,,,
MB-REC-04-pm,1.325301205,PRIMARY,,,
MB-REC-05-pm,1.204819277,PRIMARY,,,
MB-REC-15-pm,1.084337349,PRIMARY,,,
MB-REC-09-pm,0.78313253,PRIMARY,,,
MB-REC-02-pm,0.903614458,PRIMARY,,,
MB-REC-12-pm,0.421686747,PRIMARY,,,
MB-REC-03-pm,0.391566265,PRIMARY,,,
MB-REC-08-pm,0.512048193,PRIMARY,,,
MB-REC-13-pm,0.451807229,PRIMARY,,,
MB-REC-08-pm,0.331325301,PRIMARY,,,
MB-REC-10-pm,0.210843373,PRIMARY,,,
