Tumor,Mutations/Mb
MB-REC-09,2.168674699
MB-REC-10,1.174698795
MB-REC-02,0.93373494
MB-REC-41,0.63253012
MB-REC-03,0.361445783
MB-REC-16,4.879518072
MB-REC-14,2.740963855
MB-REC-11,3.102409639
MB-REC-07,1.234939759
MB-REC-08,1.325301205
MB-REC-04,1.536144578
MB-REC-13,1.987951807
MB-REC-12,1.204819277
MB-REC-15,1.174698795
MB-REC-30,1.445783133
MB-REC-24,1.234939759
MB-REC-32,2.078313253
MB-REC-42,1.807228916
MB-REC-01,1.265060241
MB-REC-28,1.355421687
MB-REC-45,1.957831325
MB-REC-39,1.295180723
MB-REC-23,0.722891566
MB-REC-18,0.813253012
MB-REC-47,1.56626506
MB-REC-27,0.993975904
MB-REC-34,1.445783133
MB-REC-40,1.56626506
MB-REC-33,1.506024096
MB-REC-31,1.204819277
MB-REC-46,1.114457831
MB-REC-22,0.903614458
MB-REC-35,0.542168675
MB-REC-19,0.722891566
MB-REC-43,0.873493976
MB-REC-21,0.813253012
MB-REC-29,0.63253012
